#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           ACE> Solar Isotope Spectrometer
#     PROJECT                         ACE>Advanced Composition Explorer
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     AC>Advanced Composition Explorer
#     DATA_TYPE                       H2>1-hour Level 2 data
#     DESCRIPTOR                      SIS>ACE Solar Isotope Spectrometer
#     DATA_VERSION                    7
#     GENERATED_BY                    ACE Science Center
#     GENERATION_DATE                 20140725
#     LINK_TEXT                       Release notes and other info available at
#     LINK_TITLE                      The ACE Science Center  Level 2 Data website
#     HTTP_LINK                       https://izw1.caltech.edu/ACE/ASC/level2/index.html
#     TEXT                            The Solar Isotope Spectrometer (SIS) is designed to provide high resolution                           
#                                      measurements of the isotopic composition of                                                           
#                                     energetic nuclei from He to Ni (Z=2 to 28) over the energy range from ~10 to                          
#                                      ~100 MeV/nucleon. During large                                                                        
#                                     solar events, when particle fluxes can increase over quiet-time values by factors                     
#                                      of up to 10000, SIS measures the isotopic                                                             
#                                     composition of the solar corona, while during solar quiet times SIS measures                          
#                                      the isotopes of low-energy Galactic cosmic rays                                                       
#                                     and the composition of the anomalous cosmic rays which are thought to originate                       
#                                      in the nearby interstellar medium.                                                                    
#                                     The solar energetic particle measurements are useful to further our understanding                     
#                                      of the Sun, while also providing a                                                                    
#                                     baseline for comparison with the Galactic cosmic ray measurements carried out                         
#                                      by CRIS.  SIS has a geometry factor of ~40                                                            
#                                     cm2--sr, which is significantly larger than previous satellite solar particle                         
#                                      isotope spectrometers. It is also                                                                     
#                                     designed to provide excellent mass resolution during the extremely high particle                      
#                                      flux conditions which occur during                                                                    
#                                     large solar particle events.
#     MODS                            Initial Release 02/08/05
#     ADID_REF                        NSSD0327
#     LOGICAL_FILE_ID                 AC_H2_SIS_20000712_V07
#     LOGICAL_SOURCE                  AC_H2_SIS
#     LOGICAL_SOURCE_DESCRIPTION      ACE/SIS Solar Isotope Spectrometer 1-Hour Level 2 Data
#     PI_NAME                         E. C. Stone
#     PI_AFFILIATION                  California Institute of Technology
#     MISSION_GROUP                   ACE
#                                     !___Interplanetary Data near 1 AU
#     INSTRUMENT_TYPE                 Particles (space)
#     TIME_RESOLUTION                 1 hour
#     WEB_SITE                        http://www.srl.caltech.edu/ACE/
#     ACKNOWLEDGEMENT                 Please acknowledge the Principal
#                                     Investigator, E. C. Stone of
#                                     Caltech, USA
#     RULES_OF_USE                    See the rules of use available from the ACE
#                                     Science Center at:
#                                     http://www.srl.caltech.edu/ACE/ASC/level2/policy_lvl2.html
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/ACE/SIS/L2/PT1H
#     DOI                             https://doi.org/10.48322/eq1k-gs80
#     CDAWEB_PARENTS                  ac_h2_sis_00000000_v01
#                                     ac_h2_sis_20000712_v07, ac_h2_sis_20000713_v07
#                                     ac_h2_sis_20000714_v07, ac_h2_sis_20000715_v07
#                                     ac_h2_sis_20000716_v07, ac_h2_sis_20000717_v07
#                                     ac_h2_sis_20000718_v07, ac_h2_sis_20000719_v07
#                                     ac_h2_sis_20000720_v07
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time, beginning of interval
#  2. He intensity, at 8 energies 3.4-41.2 MeV/nuc
#  3. C intensity, at 8 energies 6.4-76.3 MeV/nuc
#  4. O intensity, at 8 energies 7.3-89.8 MeV/nuc
#  5. Fe intensity, at 8 energies 10.7-167.7 MeV/nuc
#  6. He counts, at 8 energies 3.4-41.2 MeV/nuc
#  7. C counts, at 8 energies 6.4-76.3 MeV/nuc
#  8. O counts, at 8 energies 7.3-89.8 MeV/nuc
#  9. Fe counts, at 8 energies 10.7-167.7 MeV/nuc
#
EPOCH                              FLUX_HE_3.4-4.7            FLUX_HE_4.7-6.1            FLUX_HE_6.1-7.3            FLUX_HE_7.3-9.7           FLUX_HE_9.7-13.6          FLUX_HE_13.6-18.0          FLUX_HE_18.0-29.4          FLUX_HE_29.4-41.2             FLUX_C_6.4-8.6            FLUX_C_8.6-11.2           FLUX_C_11.2-13.4           FLUX_C_13.4-17.9           FLUX_C_17.9-25.1           FLUX_C_25.1-33.2           FLUX_C_33.2-54.3           FLUX_C_54.3-76.3            FLUX_O_7.3-10.0           FLUX_O_10.0-13.1           FLUX_O_13.1-15.6           FLUX_O_15.6-21.0           FLUX_O_21.0-29.4           FLUX_O_29.4-38.9           FLUX_O_38.9-63.8           FLUX_O_63.8-89.8          FLUX_FE_10.7-15.8          FLUX_FE_15.8-21.5          FLUX_FE_21.5-26.3          FLUX_FE_26.3-36.3          FLUX_FE_36.3-52.2          FLUX_FE_52.2-70.2         FLUX_FE_70.2-117.5        FLUX_FE_117.5-167.7             CNT_HE_3.4-4.7             CNT_HE_4.7-6.1             CNT_HE_6.1-7.3             CNT_HE_7.3-9.7            CNT_HE_9.7-13.6           CNT_HE_13.6-18.0           CNT_HE_18.0-29.4           CNT_HE_29.4-41.2              CNT_C_6.4-8.6             CNT_C_8.6-11.2            CNT_C_11.2-13.4            CNT_C_13.4-17.9            CNT_C_17.9-25.1            CNT_C_25.1-33.2            CNT_C_33.2-54.3            CNT_C_54.3-76.3             CNT_O_7.3-10.0            CNT_O_10.0-13.1            CNT_O_13.1-15.6            CNT_O_15.6-21.0            CNT_O_21.0-29.4            CNT_O_29.4-38.9            CNT_O_38.9-63.8            CNT_O_63.8-89.8           CNT_FE_10.7-15.8           CNT_FE_15.8-21.5           CNT_FE_21.5-26.3           CNT_FE_26.3-36.3           CNT_FE_36.3-52.2           CNT_FE_52.2-70.2          CNT_FE_70.2-117.5         CNT_FE_117.5-167.7
dd-mm-yyyy hh:mm:ss.ms  1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon) 1/(cm2_Sr_sec_MeV/nucleon)                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour                Counts/hour
12-07-2000 23:00:00.000                  0.0221900                  0.0104080                 0.00601980                 0.00249120                0.000795610                0.000423720                    0.00000                2.43660E-05                1.40180E-05                5.72290E-06                    0.00000                1.76290E-06                    0.00000                    0.00000                    0.00000                    0.00000                2.72400E-05                4.85070E-06                    0.00000                2.91290E-06                    0.00000                    0.00000                    0.00000                    0.00000                8.61930E-06                1.27360E-06                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    156.000                    77.0000                    37.0000                    30.0000                    13.0000                    9.00000                    0.00000                    2.00000                    4.00000                    2.00000                    0.00000                    1.00000                    0.00000                    0.00000                    0.00000                    0.00000                    10.0000                    2.00000                    0.00000                    2.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000
13-07-2000 00:00:00.000                  0.0281400                  0.0153790                 0.00540700                 0.00343200                 0.00104300                0.000660160                0.000148750                8.63570E-05                3.51000E-06                5.57000E-06                3.67430E-06                1.77860E-06                    0.00000                    0.00000                    0.00000                    0.00000                2.48410E-05                4.87640E-06                2.93710E-06                1.41570E-06                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    148.000                    88.0000                    28.0000                    32.0000                    12.0000                    9.00000                    3.00000                    4.00000                    1.00000                    2.00000                    1.00000                    1.00000                    0.00000                    0.00000                    0.00000                    0.00000                    9.00000                    2.00000                    1.00000                    1.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000
13-07-2000 01:00:00.000                  0.0402720                  0.0180650                 0.00888070                 0.00351190                 0.00117100                0.000341750                7.52200E-05                8.80670E-05                3.85910E-05                1.04470E-05                    0.00000                1.66000E-06                1.04800E-06                    0.00000                    0.00000                    0.00000                2.10000E-05                1.60310E-05                8.42730E-06                4.06730E-06                1.88600E-06                    0.00000                    0.00000                    0.00000                    0.00000                2.54270E-06                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    189.000                    90.0000                    35.0000                    29.0000                    15.0000                    5.00000                    2.00000                    2.00000                    12.0000                    4.00000                    0.00000                    1.00000                    1.00000                    0.00000                    0.00000                    0.00000                    8.00000                    7.00000                    3.00000                    3.00000                    2.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000
13-07-2000 02:00:00.000                  0.0345920                  0.0146300                 0.00877060                 0.00331310                 0.00116340                0.000353850                2.48570E-05                    0.00000                3.36060E-05                1.15160E-05                1.10570E-05                1.76860E-06                    0.00000                    0.00000                    0.00000                    0.00000                3.36460E-05                9.77290E-06                6.24430E-06                1.01210E-05                    0.00000                    0.00000                    0.00000                    0.00000                2.83290E-06                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    164.000                    76.0000                    37.0000                    29.0000                    16.0000                    5.00000                    1.00000                    0.00000                    10.0000                    4.00000                    3.00000                    1.00000                    0.00000                    0.00000                    0.00000                    0.00000                    12.0000                    4.00000                    2.00000                    7.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000
13-07-2000 03:00:00.000                  0.0762770                  0.0358930                  0.0208430                 0.00799190                 0.00137450                0.000487230                3.84930E-05                0.000156650                4.50210E-05                2.97210E-06                3.50290E-06                3.43210E-06                    0.00000                    0.00000                    0.00000                    0.00000                5.33700E-05                1.97630E-05                9.25210E-06                1.51930E-06                9.59290E-07                    0.00000                    0.00000                    0.00000                    0.00000                1.29140E-06                    0.00000                    0.00000                5.12000E-07                    0.00000                    0.00000                    0.00000                    179.000                    90.0000                    42.0000                    33.0000                    10.0000                    4.00000                    1.00000                    2.00000                    13.0000                    1.00000                    1.00000                    2.00000                    0.00000                    0.00000                    0.00000                    0.00000                    19.0000                    8.00000                    3.00000                    1.00000                    1.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000
13-07-2000 04:00:00.000                  0.0980670                  0.0395130                  0.0170540                 0.00628610                 0.00314510                0.000848570                0.000184570                9.12140E-05                6.92330E-05                5.97500E-06                3.72710E-06                1.68140E-06                    0.00000                    0.00000                4.72790E-07                    0.00000                3.11950E-05                2.23640E-05                3.15570E-06                1.51640E-06                    0.00000                    0.00000                4.27000E-07                1.08940E-06                1.42500E-06                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    209.000                    89.0000                    30.0000                    24.0000                    18.0000                    5.00000                    2.00000                    1.00000                    20.0000                    2.00000                    1.00000                    1.00000                    0.00000                    0.00000                    1.00000                    0.00000                    11.0000                    9.00000                    1.00000                    1.00000                    0.00000                    0.00000                    1.00000                    2.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000
13-07-2000 05:00:00.000                   0.108610                  0.0439320                  0.0246360                 0.00781470                 0.00401760                 0.00134270                9.82140E-05                    0.00000                4.26340E-05                8.66000E-06                    0.00000                1.79790E-06                1.20000E-06                1.10930E-06                4.73710E-07                6.42790E-07                9.39050E-05                1.94780E-05                5.98290E-06                2.87930E-06                    0.00000                    0.00000                4.05290E-07                    0.00000                1.43930E-06                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                2.75570E-07                    197.000                    86.0000                    37.0000                    26.0000                    21.0000                    7.00000                    1.00000                    0.00000                    12.0000                    3.00000                    0.00000                    1.00000                    1.00000                    1.00000                    1.00000                    1.00000                    33.0000                    8.00000                    2.00000                    2.00000                    0.00000                    0.00000                    1.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000
13-07-2000 06:00:00.000                   0.116270                  0.0478120                  0.0225740                 0.00998470                 0.00177740                0.000446290                    0.00000                    0.00000                6.94050E-05                1.73960E-05                7.28710E-06                1.06140E-05                    0.00000                1.05290E-06                    0.00000                    0.00000                4.92810E-05                1.53210E-05                2.99790E-06                1.44500E-06                9.68570E-07                1.84500E-06                    0.00000                    0.00000                1.44000E-06                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    218.000                    97.0000                    37.0000                    35.0000                    8.00000                    3.00000                    0.00000                    0.00000                    20.0000                    6.00000                    2.00000                    6.00000                    0.00000                    1.00000                    0.00000                    0.00000                    17.0000                    6.00000                    1.00000                    1.00000                    1.00000                    2.00000                    0.00000                    0.00000                    1.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000
13-07-2000 07:00:00.000                   0.136290                  0.0652050                  0.0226080                 0.00944640                 0.00286640                0.000785360                9.43570E-05                    0.00000                7.26710E-05                8.72930E-06                1.08370E-05                5.33000E-06                    0.00000                    0.00000                    0.00000                6.10640E-07                7.42570E-05                2.48900E-05                6.01070E-06                4.61570E-06                2.00000E-06                    0.00000                    0.00000                    0.00000                1.44500E-06                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    205.000                    104.000                    28.0000                    25.0000                    12.0000                    4.00000                    1.00000                    0.00000                    21.0000                    3.00000                    3.00000                    3.00000                    0.00000                    0.00000                    0.00000                    1.00000                    26.0000                    10.0000                    2.00000                    3.00000                    2.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    1.00000                    0.00000
13-07-2000 08:00:00.000                   0.191360                  0.0991240                  0.0352990                  0.0121410                 0.00304050                 0.00100050                7.40210E-05                    0.00000                0.000120910                3.57390E-05                1.48870E-05                5.29710E-06                1.17930E-06                    0.00000                    0.00000                    0.00000                0.000109860                2.28120E-05                6.13640E-06                4.57140E-06                    0.00000                    0.00000                    0.00000                    0.00000                4.56640E-06                    0.00000                    0.00000                8.26430E-07                    0.00000                    0.00000                    0.00000                    0.00000                    216.000                    123.000                    34.0000                    25.0000                    10.0000                    3.00000                    2.00000                    0.00000                    34.0000                    12.0000                    4.00000                    3.00000                    1.00000                    0.00000                    0.00000                    0.00000                    38.0000                    9.00000                    2.00000                    3.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000
13-07-2000 09:00:00.000                   0.375390                   0.114310                  0.0453680                  0.0117340                 0.00324760                0.000911500                0.000412290                    0.00000                0.000166910                5.17440E-05                7.56290E-06                7.17430E-06                1.18930E-06                    0.00000                    0.00000                6.30860E-07                0.000166120                4.13810E-05                2.24090E-05                6.30930E-06                1.00860E-06                    0.00000                    0.00000                    0.00000                6.27290E-06                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                2.38500E-07                    0.00000                    317.000                    104.000                    33.0000                    20.0000                    8.00000                    3.00000                    2.00000                    0.00000                    46.0000                    17.0000                    2.00000                    4.00000                    1.00000                    0.00000                    0.00000                    1.00000                    56.0000                    16.0000                    7.00000                    4.00000                    1.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000
13-07-2000 10:00:00.000                   0.284560                  0.0976660                  0.0283520                  0.0110120                 0.00189040                    0.00000                    0.00000                    0.00000                9.83200E-05                4.56770E-05                1.12290E-05                3.51640E-06                1.17360E-06                    0.00000                    0.00000                    0.00000                0.000135040                2.57940E-05                2.26810E-05                4.69290E-06                1.00430E-06                    0.00000                    0.00000                    0.00000                3.10860E-06                    0.00000                1.78000E-06                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    285.000                    103.000                    23.0000                    20.0000                    5.00000                    0.00000                    0.00000                    0.00000                    27.0000                    15.0000                    3.00000                    2.00000                    1.00000                    0.00000                    0.00000                    0.00000                    46.0000                    10.0000                    7.00000                    3.00000                    1.00000                    0.00000                    0.00000                    0.00000                    1.00000                    1.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000
13-07-2000 11:00:00.000                   0.217750                  0.0809200                  0.0413530                  0.0125200                 0.00315330                 0.00116980                    0.00000                0.000350500                8.84740E-05                2.10490E-05                7.23860E-06                1.73140E-06                2.47500E-06                    0.00000                    0.00000                    0.00000                0.000147280                2.75130E-05                9.38710E-06                2.94930E-06                9.85710E-07                    0.00000                    0.00000                    0.00000                4.60000E-06                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    250.000                    100.000                    40.0000                    26.0000                    10.0000                    4.00000                    0.00000                    2.00000                    25.0000                    7.00000                    2.00000                    1.00000                    2.00000                    0.00000                    0.00000                    0.00000                    51.0000                    11.0000                    3.00000                    2.00000                    1.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000
13-07-2000 12:00:00.000                   0.161460                  0.0582940                  0.0231500                 0.00691840                 0.00287830                0.000764210                0.000105020                    0.00000                7.01740E-05                4.71540E-05                2.19630E-05                3.67860E-06                1.15640E-06                    0.00000                    0.00000                    0.00000                0.000147480                3.01990E-05                6.29710E-06                1.56210E-06                    0.00000                9.12140E-07                    0.00000                    0.00000                1.55790E-06                1.40790E-06                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    241.000                    96.0000                    32.0000                    20.0000                    13.0000                    3.00000                    2.00000                    0.00000                    20.0000                    16.0000                    6.00000                    2.00000                    1.00000                    0.00000                    0.00000                    0.00000                    51.0000                    12.0000                    2.00000                    1.00000                    0.00000                    1.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000
13-07-2000 13:00:00.000                   0.170030                  0.0667590                  0.0317890                  0.0119800                 0.00355590                0.000903710                0.000105000                    0.00000                0.000107320                2.97290E-05                2.23400E-05                3.68500E-06                    0.00000                    0.00000                5.18640E-07                    0.00000                0.000161940                2.51620E-05                9.36140E-06                    0.00000                    0.00000                    0.00000                    0.00000                5.64000E-07                1.56790E-06                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    233.000                    98.0000                    36.0000                    30.0000                    13.0000                    4.00000                    1.00000                    0.00000                    30.0000                    10.0000                    6.00000                    2.00000                    0.00000                    0.00000                    1.00000                    0.00000                    56.0000                    10.0000                    3.00000                    0.00000                    0.00000                    0.00000                    0.00000                    1.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000
13-07-2000 14:00:00.000                   0.205510                  0.0976030                  0.0369300                  0.0142270                 0.00244540                0.000344430                9.75540E-05                    0.00000                0.000125710                6.65240E-05                7.79860E-06                3.63860E-06                    0.00000                    0.00000                    0.00000                    0.00000                0.000185220                7.01810E-05                3.51990E-05                1.50790E-06                    0.00000                9.85000E-07                    0.00000                    0.00000                1.58500E-06                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                2.87640E-07                    243.000                    124.000                    37.0000                    31.0000                    8.00000                    1.00000                    2.00000                    0.00000                    35.0000                    22.0000                    2.00000                    2.00000                    0.00000                    0.00000                    0.00000                    0.00000                    63.0000                    27.0000                    11.0000                    1.00000                    0.00000                    1.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000
13-07-2000 15:00:00.000                   0.245580                   0.131660                  0.0314320                 0.00871060                 0.00640110                 0.00105260                    0.00000                    0.00000                0.000138280                1.52740E-05                7.28360E-06                3.59790E-06                1.17210E-06                    0.00000                    0.00000                    0.00000                0.000200630                3.30880E-05                1.61640E-05                3.06430E-06                    0.00000                    0.00000                    0.00000                5.27000E-07                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                2.98570E-07                    214.000                    105.000                    34.0000                    19.0000                    7.00000                    4.00000                    0.00000                    0.00000                    39.0000                    5.00000                    2.00000                    2.00000                    1.00000                    0.00000                    0.00000                    0.00000                    69.0000                    13.0000                    5.00000                    2.00000                    0.00000                    0.00000                    0.00000                    1.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000
13-07-2000 16:00:00.000                   0.167370                  0.0622940                  0.0243660                 0.00747780                0.000717790                0.000930000                    0.00000                0.000145790                6.19510E-05                2.09860E-05                3.56930E-06                3.54430E-06                    0.00000                    0.00000                    0.00000                    0.00000                8.95040E-05                3.00990E-05                    0.00000                    0.00000                1.03710E-06                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    237.000                    91.0000                    30.0000                    21.0000                    3.00000                    3.00000                    0.00000                    1.00000                    18.0000                    7.00000                    1.00000                    2.00000                    0.00000                    0.00000                    0.00000                    0.00000                    31.0000                    12.0000                    0.00000                    0.00000                    1.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000
13-07-2000 17:00:00.000                   0.124260                  0.0421380                  0.0162540                 0.00872200                0.000891730                0.000549330                    0.00000                    0.00000                5.65660E-05                2.18790E-05                1.01810E-05                1.69670E-06                1.07130E-06                    0.00000                    0.00000                    0.00000                7.13440E-05                9.34470E-06                5.81470E-06                2.80600E-06                    0.00000                    0.00000                    0.00000                5.17400E-07                1.43870E-06                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    247.000                    87.0000                    30.0000                    32.0000                    5.00000                    3.00000                    0.00000                    0.00000                    17.0000                    8.00000                    3.00000                    1.00000                    1.00000                    0.00000                    0.00000                    0.00000                    27.0000                    4.00000                    2.00000                    2.00000                    0.00000                    0.00000                    0.00000                    1.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000
13-07-2000 18:00:00.000                   0.138800                  0.0404490                  0.0191700                 0.00772880                0.000577640                0.000204820                    0.00000                    0.00000                4.21740E-05                6.09710E-06                7.15710E-06                    0.00000                    0.00000                    0.00000                5.09500E-07                    0.00000                9.20570E-05                2.23490E-05                9.46070E-06                1.46210E-06                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                2.79790E-07                    247.000                    73.0000                    29.0000                    26.0000                    3.00000                    2.00000                    0.00000                    0.00000                    12.0000                    2.00000                    2.00000                    0.00000                    0.00000                    0.00000                    1.00000                    0.00000                    32.0000                    9.00000                    3.00000                    1.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000
13-07-2000 19:00:00.000                   0.144440                  0.0485020                  0.0207180                 0.00561860                 0.00173790                0.000319000                    0.00000                    0.00000                3.14740E-05                1.50190E-05                7.33930E-06                5.13790E-06                    0.00000                    0.00000                    0.00000                    0.00000                6.57880E-05                1.24190E-05                6.03500E-06                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    252.000                    89.0000                    29.0000                    16.0000                    8.00000                    2.00000                    0.00000                    0.00000                    9.00000                    5.00000                    2.00000                    3.00000                    0.00000                    0.00000                    0.00000                    0.00000                    23.0000                    5.00000                    2.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000
13-07-2000 20:00:00.000                   0.113470                  0.0382170                  0.0151990                 0.00484010                 0.00126090                0.000157070                    0.00000                    0.00000                6.65540E-05                2.95960E-05                3.76640E-06                7.25000E-06                    0.00000                    0.00000                5.07500E-07                    0.00000                7.08310E-05                3.23460E-05                9.41290E-06                2.90360E-06                    0.00000                    0.00000                    0.00000                    0.00000                1.44710E-06                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                2.30570E-07                    0.00000                    231.000                    85.0000                    27.0000                    18.0000                    7.00000                    1.00000                    0.00000                    0.00000                    19.0000                    10.0000                    1.00000                    4.00000                    0.00000                    0.00000                    1.00000                    0.00000                    25.0000                    13.0000                    3.00000                    2.00000                    0.00000                    0.00000                    0.00000                    0.00000                    1.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000
13-07-2000 21:00:00.000                   0.121490                  0.0431590                  0.0193040                 0.00614690                 0.00184500                    0.00000                    0.00000                    0.00000                7.97620E-05                1.76610E-05                7.10640E-06                1.70790E-06                    0.00000                    0.00000                    0.00000                    0.00000                7.15380E-05                2.76650E-05                3.01360E-06                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    227.000                    88.0000                    31.0000                    21.0000                    9.00000                    0.00000                    0.00000                    0.00000                    23.0000                    6.00000                    2.00000                    1.00000                    0.00000                    0.00000                    0.00000                    0.00000                    25.0000                    11.0000                    1.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000                    0.00000
